Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
2008,Recruit,Conor McDermott,WDE,6-2,270,,,,0,Creighton Prep,Omaha,NE,,Enrolled,https://247sports.com/Player/conor-mcdermott-11688/,"Omaha, NE",41.2587459,-95.9383758
2008,Recruit,Sam Meginnis,LS,6-2,230,,,,0,Lincoln East,Lincoln,NE,,Enrolled,https://247sports.com/Player/sam-meginnis-11690/,"Lincoln, NE",40.8088861,-96.7077751
2008,Recruit,Cameron Meredith,WDE,6-4,222,,,,0,Mater Dei,Santa Ana,CA,,Enrolled,https://247sports.com/Player/cameron-meredith-11692/,"Santa Ana, CA",33.7494951,-117.873221
2008,Recruit,Brent Moravec,CB,6-0,195,,,,0,Central Catholic,Grand Island,NE,,Enrolled,https://247sports.com/Player/brent-moravec-11697/,"Grand Island, NE",40.924271,-98.338685
2008,Recruit,Collins Okafor,RB,6-1,210,,,,0,Omaha Westside,Omaha,NE,,Enrolled,https://247sports.com/Player/collins-okafor-11699/,"Omaha, NE",41.2587459,-95.9383758
2008,Recruit,Courtney Osborne,ATH,6-3,170,,,,0,South Garland,Garland,TX,,Enrolled,https://247sports.com/Player/courtney-osborne-11700/,"Garland, TX",32.912624,-96.6388833
2008,Recruit,Steven Osborne,WR,6-4,182,,,,0,South Garland,Garland,TX,,Enrolled,https://247sports.com/Player/steven-osborne-11701/,"Garland, TX",32.912624,-96.6388833
2008,Recruit,Kyler Reed,ATH,6-3,204,,,,0,St. Thomas Aquinas,Overland Park,KS,,Enrolled,https://247sports.com/Player/kyler-reed-11707/,"Overland Park, KS",38.9742502,-94.6851702
2008,Recruit,P.J. Smith,S,6-2,205,,,,0,John Curtis,River Ridge,LA,,Enrolled,https://247sports.com/Player/pj-smith-11721/,"River Ridge, LA",29.9546595,-90.2160805
2008,Recruit,Kody Spano,DUAL,6-2,202,,,,0,Stephenville,Stephenville,TX,,Enrolled,https://247sports.com/Player/kody-spano-11723/,"Stephenville, TX",32.2201387,-98.2045388
2008,Recruit,Baker Steinkuhler,OT,6-6,290,,,,0,Southwest,Lincoln,NE,,Enrolled,https://247sports.com/Player/baker-steinkuhler-11725/,"Lincoln, NE",40.8088861,-96.7077751
2008,Recruit,Graham Stoddard,ILB,6-2,235,,,,0,Southwest,Lincoln,NE,,Enrolled,https://247sports.com/Player/graham-stoddard-11726/,"Lincoln, NE",40.8088861,-96.7077751
2008,Recruit,Brandon Thompson,OT,6-6,280,,,,0,The Woodlands,The Woodlands,TX,,Enrolled,https://247sports.com/Player/brandon-thompson-11728/,"The Woodlands, TX",30.1734194,-95.504686
2008,Recruit,Kevin Thomsen,WDE,6-2,245,,,,0,Elkhorn,Elkhorn,NE,,Enrolled,https://247sports.com/Player/kevin-thomsen-11729/,"Elkhorn, NE",41.2860699,-96.2346121
2008,Recruit,Brian Thorson,OG,6-3,285,,,,0,Millard North,Omaha,NE,,Enrolled,https://247sports.com/Player/brian-thorson-11731/,"Omaha, NE",41.2587459,-95.9383758
2008,Recruit,Lester Ward,RB,6-3,186,,,,0,Brenham,Brenham,TX,,Enrolled,https://247sports.com/Player/lester-ward-11734/,"Brenham, TX",30.1668828,-96.3977442
2008,Recruit,Alonzo Whaley,OLB,6-1,213,,,,0,Madisonville,Madisonville,TX,,Enrolled,https://247sports.com/Player/alonzo-whaley-11736/,"Madisonville, TX",30.9498688,-95.9127773
2008,Recruit,Josh Williams,SDE,6-5,220,,,,0,Denton Ryan,Denton,TX,,Enrolled,https://247sports.com/Player/josh-williams-11738/,"Denton, TX",33.1838787,-97.1413417
2008,Recruit,David Grant,OT,6-6,278,,,,0,Killeen,Killeen,TX,,Enrolled,https://247sports.com/Player/david-grant-24222/,"Killeen, TX",31.1171441,-97.727796
2008,Recruit,Tyson Hetzer,TE,6-7,265,,,,0,Citrus College,Glendora,CA,,Enrolled,https://247sports.com/Player/tyson-hetzer-55676/,"Glendora, CA",34.1361187,-117.865339
2008,Recruit,John Levorson,ATH,6-4,185,,,,0,Crete,Crete,NE,,Enrolled,https://247sports.com/Player/john-levorson-55678/,"Crete, NE",40.6256594,-96.9613881
2008,Recruit,Quentin Toailoa,DT,6-5,275,,,,0,Redlands East Valley,Redlands,CA,,Enrolled,https://247sports.com/Player/quentin-toailoa-55679/,"Redlands, CA",34.0550328,-117.1827445
2008,Recruit,Mason Wald,S,5-11,195,,,,0,Vestavia Hills,Birmingham,AL,,Enrolled,https://247sports.com/Player/mason-wald-55683/,"Birmingham, AL",33.5206824,-86.8024326
2008,Recruit,David Whitmore,CB,6-2,190,,,,0,Port Arthur Memorial,Port Arthur,TX,,Enrolled,https://247sports.com/Player/david-whitmore-55685/,"Port Arthur, TX",29.8716577,-93.9332302
2008,Recruit,Ricky Henry,OG,6-4,300,,,,0,North Dakota State College of Science,Wahpeton,ND,,Enrolled,https://247sports.com/Player/ricky-henry-55692/,"Wahpeton, ND",46.265879,-96.608863
2008,Recruit,Justin Rogers,RB,5-11,180,,,,0,Vestavia Hills,Birmingham,AL,,Enrolled,https://247sports.com/Player/justin-rogers-55699/,"Birmingham, AL",33.5206824,-86.8024326
2009,Recruit,Jason Ankrah,SDE,6-4,248,,,,0,Quince Orchard,Gaithersburg,MD,,Enrolled,https://247sports.com/Player/jason-ankrah-11625/,"Gaithersburg, MD",39.1399187,-77.1929215
2009,Recruit,Nick Ash,OG,6-5,261,,,,0,Keller,Keller,TX,,Enrolled,https://247sports.com/Player/nick-ash-11626/,"Keller, TX",32.9299655,-97.2271249
2009,Recruit,Robert Barry,TE,6-8,245,,,,0,Battle Creek,Battle Creek,NE,,Enrolled,https://247sports.com/Player/robert-barry-11627/,"Battle Creek, NE",41.9995361,-97.5981732
2009,Recruit,Rex Burkhead,APB,5-11,190,,,,0,Plano,Plano,TX,,Enrolled,https://247sports.com/Player/rex-burkhead-11633/,"Plano, TX",33.0136764,-96.6925096
2009,Recruit,Brandon Chapek,OT,6-5,305,,,,0,Wahoo,Wahoo,NE,,Enrolled,https://247sports.com/Player/brandon-chapek-11636/,"Wahoo, NE",41.2111084,-96.6197985
2009,Recruit,Jesse Coffey,OT,6-7,290,,,,0,Denton Guyer,Denton,TX,,Enrolled,https://247sports.com/Player/jesse-coffey-11638/,"Denton, TX",33.1838787,-97.1413417
2009,Recruit,Taylor Dixon,WR,5-11,195,,,,0,Wauneta-palisade,Wauneta,NE,,Enrolled,https://247sports.com/Player/taylor-dixon-11648/,"Wauneta, NE",40.4183537,-101.3713379
2009,Recruit,Andrew Green,CB,6-0,181,,,,0,San Antonio Madison,San Antonio,TX,,Enrolled,https://247sports.com/Player/andrew-green-11656/,"San Antonio, TX",29.4246002,-98.4951405
2009,Recruit,Cody Green,DUAL,6-4,220,,,,0,Dayton,Dayton,TX,,Enrolled,https://247sports.com/Player/cody-green-11657/,"Dayton, TX",30.0473202,-94.8873913
2009,Recruit,Mitch Hron,FB,6-2,230,,,,0,Schuyler Central,Schuyler,NE,,Enrolled,https://247sports.com/Player/mitch-hron-11659/,"Schuyler, NE",41.4473547,-97.0572541
2009,Recruit,Seth Jameson,CB,6-1,200,,,,0,Southlake Carroll,Southlake,TX,,Enrolled,https://247sports.com/Player/seth-jameson-11663/,"Southlake, TX",32.9412363,-97.1341783
2009,Recruit,Dwight Jones,OT,6-4,265,,,,0,Gretna,Gretna,NE,,Enrolled,https://247sports.com/Player/dwight-jones-11667/,"Gretna, NE",41.1469269,-96.2390053
2009,Recruit,Ron Kellogg III,PRO,6-1,215,,,,0,Omaha Westside,Omaha,NE,,Enrolled,https://247sports.com/Player/ron-kellogg-iii-11669/,"Omaha, NE",41.2587459,-95.9383758
2009,Recruit,J.T. Kerr,TE,6-4,230,,,,0,Scripps Ranch,San Diego,CA,,Enrolled,https://247sports.com/Player/jt-kerr-11670/,"San Diego, CA",32.7174202,-117.162772
2009,Recruit,Ty Kildow,WR,5-7,180,,,,0,Millard South,Omaha,NE,,Enrolled,https://247sports.com/Player/ty-kildow-11671/,"Omaha, NE",41.2587459,-95.9383758
2009,Recruit,Jake Long,TE,6-4,240,,,,0,Elkhorn,Elkhorn,NE,,Enrolled,https://247sports.com/Player/jake-long-11676/,"Elkhorn, NE",41.2860699,-96.2346121
2009,Recruit,Spencer Long,OT,6-4,300,,,,0,Elkhorn,Elkhorn,NE,,Enrolled,https://247sports.com/Player/spencer-long-11677/,"Elkhorn, NE",41.2860699,-96.2346121
2009,Recruit,P.J. Mangieri,LS,6-4,240,,,,0,Dunlap,Dunlap,IL,,Enrolled,https://247sports.com/Player/pj-mangieri-11679/,"Dunlap, IL",40.8616513,-89.6777665
2009,Recruit,Eric Martin,ILB,6-2,216,,,,0,Rancho Verde,Moreno Valley,CA,,Enrolled,https://247sports.com/Player/eric-martin-11682/,"Moreno Valley, CA",33.9375177,-117.2305791
2009,Recruit,Taylor Martinez,ATH,6-0,176,,,,0,Corona Centennial,Corona,CA,,Enrolled,https://247sports.com/Player/taylor-martinez-11684/,"Corona, CA",33.8752945,-117.566444
2009,Recruit,Lazarri Middleton,CB,6-1,190,,,,0,Long Beach Poly,Long Beach,CA,,Enrolled,https://247sports.com/Player/lazarri-middleton-11693/,"Long Beach, CA",33.7690164,-118.191604
2009,Recruit,Brodrick Nickens,OT,6-5,300,,,,0,Alliance,Alliance,NE,,Enrolled,https://247sports.com/Player/brodrick-nickens-11698/,"Alliance, NE",42.0971897,-102.8707145
